season,season_type,start_date,completed,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],start_time_tbd,venue_id,venue
2022,regular,2022-09-03T16:00:00.000Z,true,2477,Ohio Dominican,Great Midwest Athletic,ii,28,0,7,7,14,2224,Findlay,Great Midwest Athletic,ii,14,7,0,0,7,false,3870,Panther Stadium (OH)
2022,regular,2022-09-03T16:00:00.000Z,true,2588,Southwestern University,American Southwest,iii,7,0,7,0,0,2094,Cal Lutheran,So. Cal.,iii,37,6,17,7,7,false,6118,Birkelbach Field
2022,regular,2022-09-03T16:00:00.000Z,true,245,Texas A&M,SEC,fbs,31,7,10,7,7,2534,Sam Houston State,Western Athletic,fcs,0,0,0,0,0,false,3795,Kyle Field
2022,regular,2022-09-03T16:00:00.000Z,true,2782,SUNY Cortland,Empire 8,iii,48,14,10,17,7,2746,Wittenberg,North Coast,iii,28,7,0,7,14,false,5125,Stadium Red Field
2022,regular,2022-09-03T16:00:00.000Z,true,2790,Albion,Michigan,iii,52,14,21,14,3,2106,Carthage,CCIW,iii,0,0,0,0,0,false,5786,Sprankle-Sprandel Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,2776,Salve Regina,Commonwealth Coast,iii,7,0,0,7,0,2467,Norwich,NEWMAC,iii,0,0,0,0,0,false,6115,Toppa Field
2022,regular,2022-09-03T16:00:00.000Z,true,2781,Brockport State (NY),Empire 8,iii,27,3,14,0,10,2967,Framingham State,MSCAC,iii,7,0,0,7,0,false,6126,Bob Boozer Field
2022,regular,2022-09-03T16:00:00.000Z,true,2442,College of New Jersey,New Jersey,iii,31,7,7,14,3,323,Moravian,Centennial,iii,13,3,3,0,7,false,5824,Lions Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,2018,Allegheny,Presidents',iii,27,3,3,7,14,237,Union,Liberty League,iii,42,14,7,14,7,false,5789,Frank B. Fuhrer Field
2022,regular,2022-09-03T16:00:00.000Z,true,18,Bridgewater State,MSCAC,iii,14,0,7,7,0,175,Ithaca,Liberty League,iii,51,14,16,14,7,false,5808,Edward C. Swenson Athletic Complex
2022,regular,2022-09-03T16:00:00.000Z,true,2980,Ohio Wesleyan,North Coast,iii,13,0,13,0,0,359,Otterbein,Ohio,iii,21,7,7,0,7,false,6099,Selby Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,2256,Greensboro,USA South,iii,48,14,14,14,6,2258,Guilford,Old Dominion,iii,37,20,10,7,0,false,5852,Jamieson Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,630,Wayland Baptist,,,14,0,0,7,7,2810,Hardin-Simmons,American Southwest,iii,79,28,17,21,13,false,,
2022,regular,2022-09-03T16:00:00.000Z,true,2963,Case Western Reserve,Presidents',iii,14,0,0,0,14,118,Johns Hopkins,Centennial,iii,54,14,20,7,13,false,3671,Case Field
